Age,Annual_Income,Monthly_Expenses,Savings_Rate,Debt_to_Income_Ratio,Current_Investments_Value,Total_Loan_Amount,Avg_Credit_Score,Inflation_Rate,Interest_Rate,Years_of_Employment,Job_Stability_Score,Emergency_Fund_Value,Retirement_Fund_Contribution,Customer_Segment,Future_Balance
34.0,617026.88,23359.39,0.31,0.19,2301623.75,311362.59,693.0,6.28,6.24,9.5,0.35,205784.56,58573.24,Gold,2635751.19
31.0,735380.35,35911.9,0.25,0.54,2047054.97,524991.94,614.0,7.26,6.58,14.0,0.37,138238.91,102229.86,Gold,2406159.32
38.0,842879.81,50595.48,0.26,0.38,2309212.83,783885.7,611.0,6.97,5.95,11.3,0.59,481614.14,71810.05,Gold,3071583.24
31.0,1057115.98,44648.43,0.1,0.22,1920299.29,365810.49,719.0,6.85,,11.0,0.34,282883.26,154241.35,Silver,2420776.26
36.0,1315665.22,73573.17,0.55,0.28,4329005.13,433491.57,,,4.92,7.5,0.35,114863.85,95021.69,Silver,5264488.87
43.0,747609.67,38267.31,0.22,0.58,1868770.47,989086.6,639.0,5.42,7.04,0.0,0.11,182554.09,92035.5,Silver,2260195.27
43.0,1535231.73,65176.85,0.34,0.04,5000000.0,1551117.69,755.0,5.43,7.2,11.6,0.47,255600.59,86035.26,Gold,6038365.74
31.0,1310074.38,71501.5,0.03,0.65,2043661.2,2101537.46,612.0,5.32,7.09,8.6,0.31,251502.95,132516.09,Gold,2365031.2
35.0,1101064.04,37628.45,0.03,0.56,2536588.31,1185922.65,718.0,5.81,5.96,7.3,0.2,317141.84,127633.69,Bronze,3117290.52
51.0,957048.83,51370.66,0.22,0.51,2674565.84,1226241.37,648.0,4.61,6.93,3.5,0.39,219432.69,72492.96,Gold,3055957.87
45.0,1022538.05,41156.27,0.3,0.11,3076240.68,981108.22,,3.91,7.1,8.2,,,91976.28,Gold,3846820.55
61.0,1446952.97,54011.14,0.01,0.66,3954138.03,619055.96,633.0,5.96,7.37,2.2,0.18,,127494.9,Gold,4512850.5
52.0,1468250.2,75386.4,0.25,0.27,4796357.0,490084.9,640.0,7.43,7.8,3.4,0.21,112338.36,167737.63,Silver,5813280.7
51.0,1535134.77,89668.75,0.4,0.31,5000000.0,916462.63,709.0,6.17,4.65,8.1,0.28,432820.35,223641.24,Silver,6175507.38
26.0,915001.31,48927.16,0.14,,,2261520.08,714.0,6.57,7.45,9.3,0.43,109401.52,80955.19,Bronze,2003292.01
48.0,1123699.48,59795.31,0.34,0.26,2181839.98,583855.21,710.0,6.16,5.88,0.0,,72578.87,,Gold,2600814.42
39.0,1540424.59,82164.58,,0.29,3195300.08,866258.82,627.0,6.39,7.37,1.5,0.05,203759.27,193735.4,Silver,4066705.61
34.0,701280.78,25990.62,0.4,0.58,2341010.09,1048676.79,655.0,5.69,7.43,5.5,0.21,221219.43,67199.92,Silver,2634512.85
42.0,792369.66,46885.66,0.34,0.28,2142718.07,387504.26,644.0,5.24,6.72,,0.44,374101.69,,Gold,2833255.55
,905791.75,39099.0,0.16,0.27,2929024.37,653306.44,670.0,6.99,6.01,4.1,0.33,176498.3,129222.16,Silver,3626095.21
45.0,1289789.44,47956.14,0.21,0.51,2401483.15,847732.7,,,5.12,13.9,0.41,,180105.51,Silver,3087146.94
31.0,1297849.09,52099.19,0.27,0.67,2542940.38,1786272.2,599.0,5.99,6.22,11.1,0.43,203334.55,180659.43,Silver,2854639.84
47.0,820610.95,31647.06,0.34,0.33,1247857.21,703585.61,709.0,7.31,5.23,17.7,0.38,239224.49,92311.4,Bronze,1699783.5
34.0,492232.41,18266.69,0.37,0.11,1705812.76,959459.56,711.0,5.84,6.02,14.1,0.57,168939.05,44373.23,Bronze,2107760.7
42.0,,40020.98,0.06,0.18,3078996.04,416618.98,657.0,6.2,4.22,7.3,0.11,461178.26,69274.26,Silver,3600177.48
37.0,623325.16,,0.22,0.47,1202776.38,438600.64,626.0,4.84,5.98,11.0,0.28,293138.77,54247.22,Bronze,1687637.42
38.0,495922.81,29320.56,0.53,0.33,2366122.22,1194983.94,622.0,6.22,6.16,9.5,0.36,306113.56,47937.01,Bronze,2889704.43
,542857.11,30226.7,0.23,0.29,1932474.14,1663142.29,644.0,6.44,5.97,6.0,0.22,260029.47,49521.06,Bronze,2177498.11
30.0,1025511.88,51304.61,0.07,0.06,,861476.36,657.0,6.18,5.66,2.5,0.21,211001.38,134814.21,Gold,2395710.94
59.0,1551239.72,63467.47,0.43,0.22,5000000.0,515444.63,732.0,6.47,9.01,12.4,0.36,233361.18,129716.62,Silver,6095338.09
22.0,914111.51,50757.11,0.1,0.24,2172976.49,451754.56,671.0,4.84,8.25,8.5,0.07,76242.81,92293.06,Silver,2577830.71
34.0,,30774.0,0.25,0.32,2370642.33,1151159.1,643.0,5.94,5.4,0.0,0.0,228451.84,102720.09,Silver,2877524.16
44.0,14445494.299999999,358527.39999999997,,2.0,2597164.17,770188.3,,5.23,6.35,8.5,0.43,511364.28,108645.36,Silver,4024811.59
46.0,485225.05,19738.91,0.46,0.13,1922946.84,205336.72,682.0,7.35,9.83,,0.5,187714.66,49529.24,Silver,2462411.07
39.0,1108170.05,53207.78,0.45,0.32,2741212.79,339210.14,,4.92,5.17,5.2,0.36,148978.66,74010.69,Silver,3442027.26
39.0,895837.33,37911.73,0.29,0.76,1915761.76,592932.34,631.0,5.58,7.94,12.3,0.35,208942.11,116737.18,Silver,2355089.32
44.0,1128695.42,63737.32,0.14,0.16,3014987.3,1397077.43,660.0,5.89,6.48,8.2,0.36,481219.44,,Silver,3795832.65
38.0,741741.8,46323.72,0.34,0.37,,711020.76,693.0,6.52,,5.5,0.28,296545.82,41139.2,Bronze,3855095.91
54.0,648861.86,35342.26,0.15,,1532401.2,373114.72,669.0,5.0,6.16,0.0,0.05,,58281.08,Silver,1964994.84
48.0,952031.69,37755.53,0.2,0.12,1262720.8,174525.14,663.0,6.49,8.68,14.5,0.5,286328.95,111750.25,Bronze,1887608.05
49.0,1740749.93,66380.4,0.25,0.12,1551760.26,907232.16,714.0,6.01,5.98,4.0,0.26,,251410.73,Bronze,2377663.41
30.0,1269983.01,76618.66,0.06,0.51,1744755.17,477843.06,664.0,4.35,9.01,0.0,,253481.12,97341.85,Silver,2230100.72
39.0,734593.77,31404.86,0.65,0.35,2437003.18,942490.7,667.0,,8.07,0.0,0.1,117334.15,90173.99,Gold,3176601.56
37.0,526370.82,32716.2,,0.56,1058748.43,413936.09,573.0,,5.39,0.0,0.0,137990.66,59005.7,Gold,1052958.92
,459237.66,23803.47,0.57,0.4,1378105.17,1067739.25,,5.94,6.04,9.1,0.18,153949.43,52655.15,Silver,1813944.25
44.0,1523605.04,87420.38,0.23,0.2,2972179.97,1786508.86,651.0,5.22,6.97,13.7,0.43,196703.32,189404.27,Gold,3670418.91
35.0,614225.33,39986.79,0.4,0.29,1124112.77,1945034.48,675.0,7.57,5.69,6.0,0.3,200298.33,39023.5,Silver,1411385.36
47.0,790123.61,39487.33,0.23,0.1,2704139.08,483445.03,692.0,5.33,8.4,0.6,0.35,129041.79,92230.09,Silver,3172593.88
29.0,,41881.24,0.17,0.34,2773290.99,201808.41,663.0,7.64,7.49,5.0,0.24,228219.85,148602.57,Silver,3301088.29
57.0,471931.66,20273.84,0.49,0.54,1631278.6,514153.54,632.0,7.15,6.65,11.2,0.5,41506.94,68422.4,Gold,2029156.16
31.0,1634840.57,96020.7,0.31,0.59,2004202.53,445528.48,657.0,5.9,9.07,9.1,0.41,290467.02,159054.03,Bronze,2715739.99
42.0,813168.69,51553.41,0.08,0.02,2090555.24,446590.23,690.0,5.14,6.48,6.5,0.31,184575.84,,Gold,2327878.48
48.0,568477.33,23458.83,0.38,0.25,1709883.9,512374.15,649.0,6.3,8.38,2.6,0.16,146025.03,32213.32,Silver,1952639.34
34.0,815217.05,37143.44,0.55,0.29,1598603.53,,691.0,6.65,5.93,8.6,0.34,387689.53,95024.8,Silver,2122411.3
49.0,674084.89,40961.53,0.27,0.7,961520.07,,640.0,6.53,6.11,,0.21,146435.51,41032.78,Silver,1154937.75
28.0,1073546.23,53883.33,0.35,0.75,3474077.27,1005253.32,620.0,5.43,7.86,11.1,0.27,302247.34,63931.67,Silver,4081147.71
55.0,694465.02,42909.79,0.15,0.34,1976315.08,698541.73,590.0,6.21,6.13,9.7,0.31,218252.13,55943.19,Bronze,2307257.05
40.0,418944.26,21586.27,0.1,0.17,1729260.65,819102.23,663.0,8.4,6.32,0.0,0.03,258635.1,,Silver,2010482.31
34.0,823999.36,52338.08,0.14,0.25,2546932.28,729882.4,653.0,6.48,7.94,9.4,0.57,167063.82,43594.66,Silver,2972133.79
37.0,523102.14,21723.8,0.24,0.3,1030411.03,802979.13,662.0,6.01,7.94,10.0,0.42,151164.86,46612.36,Silver,1361738.79
48.0,976644.5,33418.94,0.31,0.28,2242741.01,,613.0,6.02,7.01,12.9,0.33,210786.42,49433.64,Silver,2701757.68
34.0,559779.32,16591.23,0.12,0.08,1668228.43,532841.85,671.0,4.91,4.88,,0.19,253043.01,65302.7,Silver,2176902.83
33.0,740399.31,47077.34,0.16,0.37,1717208.61,568705.69,,5.62,8.54,0.0,0.25,114151.37,49499.51,Gold,2024441.43
38.0,968191.49,45193.05,0.36,0.62,2248095.34,520417.33,649.0,6.92,4.89,8.5,,293406.86,94150.72,Silver,2832675.61
28.0,826674.7,26558.44,0.43,0.23,1249188.25,1374936.02,645.0,4.33,9.97,7.8,0.27,198949.96,,Silver,1906410.46
58.0,994825.03,40906.23,0.21,0.25,3002889.47,872076.9,726.0,5.91,9.13,8.3,0.21,220616.9,139401.28,Bronze,3814019.52
,,50519.66,0.43,0.11,2326246.31,230131.33,712.0,3.6,9.38,5.8,0.2,104777.36,111324.73,Silver,3073293.64
48.0,566355.11,39237.2,0.36,0.5,1103739.55,627043.75,694.0,6.87,6.69,12.7,0.4,135292.65,82998.97,Silver,1520342.81
42.0,877112.93,48724.84,0.09,0.77,1386416.35,904593.31,652.0,6.79,,11.2,0.28,140198.39,116998.91,Silver,1826316.34
30.0,300000.0,20061.7,0.09,0.12,690160.45,319061.99,685.0,6.37,9.96,16.3,,194677.04,29123.79,Silver,824575.75
,993593.42,,0.38,0.22,1821862.71,1874598.95,671.0,6.97,8.08,8.5,0.57,687269.38,126075.84,Silver,2717379.42
48.0,797968.49,48169.98,0.45,0.28,2820822.36,837478.54,705.0,5.22,7.05,8.3,0.33,270186.35,,Silver,3393165.95
38.0,607295.11,24273.81,0.37,0.34,2612651.8,1354874.17,648.0,5.46,7.02,10.3,0.29,123666.3,79745.04,Silver,3116545.7
52.0,1021147.76,54296.28,,0.3,3404296.6,765621.33,667.0,6.44,7.91,10.9,0.23,99182.47,107009.2,Silver,4128949.85
50.0,1438669.19,45569.22,0.48,0.29,5000000.0,351427.4,646.0,7.06,5.75,16.8,0.6,144413.59,73630.68,Silver,5952142.81
49.0,,29479.45,0.05,0.09,1618610.92,502852.88,731.0,4.65,7.25,10.8,0.24,215076.63,66145.24,Silver,1920306.38
35.0,616753.21,17635.27,0.59,0.28,961408.2,394299.17,602.0,5.46,5.11,14.7,0.39,310651.8,,Gold,1378836.2
29.0,961413.76,44524.23,0.56,0.44,2424682.04,218068.92,698.0,6.19,4.41,2.8,0.23,136644.77,135222.5,Silver,2979165.78
34.0,527501.7,31458.34,0.24,0.74,736776.85,1308485.75,671.0,4.57,6.61,5.9,0.21,259072.03,48766.19,Silver,868994.23
42.0,691070.76,26336.92,0.38,0.34,2026370.15,2307354.89,672.0,4.97,6.67,2.3,0.1,397369.15,74279.0,Gold,2485195.26
45.0,1467558.81,55965.35,0.11,0.6,3549101.46,1706247.34,702.0,4.31,7.76,8.3,0.3,129748.69,200728.37,Silver,4016425.25
21.0,922665.22,45322.34,0.59,0.32,1204687.99,659548.78,,6.07,6.67,7.6,0.47,301059.85,86910.37,Silver,1894501.6
40.0,424370.96,15555.29,0.27,0.51,1625194.87,,,6.24,5.96,10.3,0.34,179477.45,62828.05,Gold,1995841.35
42.0,,19802.05,0.07,0.22,715465.79,,640.0,6.52,6.83,11.6,0.27,211423.58,63857.59,Bronze,923322.94
37.0,960283.97,40792.81,0.21,0.33,1525396.93,2049898.83,704.0,6.33,7.82,6.0,0.21,224265.38,54933.96,Silver,1741059.26
53.0,1270735.31,72815.55,0.21,0.13,,944303.11,616.0,6.38,7.12,16.9,0.29,229753.94,141882.7,Silver,1691730.51
44.0,471229.94,24580.94,0.13,0.3,1253930.73,233971.03,721.0,5.45,5.24,11.9,0.45,195455.8,24330.19,Gold,1525776.62
53.0,1077371.77,70596.14,0.45,0.3,1641918.39,619509.75,646.0,5.92,6.41,3.4,0.16,233411.36,103139.05,Gold,2280916.56
38.0,1532310.75,,0.34,0.47,3646346.31,275112.85,611.0,5.76,6.8,9.8,0.19,158732.27,118202.31,Gold,4495463.4
49.0,1915125.35,77419.16,0.23,0.22,2635707.91,1701518.58,625.0,5.55,7.96,0.0,0.2,214489.01,154096.75,Gold,3463611.63
56.0,1027499.92,33880.3,0.23,0.38,2554102.12,615831.8,663.0,7.7,7.75,,0.61,139601.16,129310.13,Silver,3026012.38
53.0,1102257.69,59063.72,0.59,0.2,1501840.17,608998.56,730.0,6.45,6.68,3.6,0.0,199225.34,124220.54,Silver,2416798.42
29.0,383416.17,17747.81,0.07,0.22,1007213.4,330038.63,692.0,5.92,7.73,0.0,0.15,122330.71,32772.16,Silver,1121875.75
37.0,2084523.94,100928.83,0.17,0.4,5000000.0,549488.35,559.0,,8.94,12.1,0.54,109217.27,205805.62,Silver,5902050.15
37.0,,25089.22,0.31,,1246896.3,1105179.5,653.0,4.94,8.66,2.3,0.16,110896.42,83291.74,Bronze,1466123.17
45.0,619557.99,27070.2,,0.28,1018359.43,444486.08,614.0,4.87,5.68,12.7,0.41,161028.72,73947.2,Silver,1514869.35
47.0,812659.59,50026.3,0.26,0.08,3268648.56,738171.74,714.0,5.62,5.44,0.0,0.02,196755.32,110952.8,Bronze,3741025.64
32.0,1647582.15,84567.69,0.67,0.28,,552259.76,694.0,7.07,6.03,5.9,0.09,134664.43,82438.61,Silver,5821126.57
41.0,2176804.34,71168.66,0.41,0.39,4702948.52,468464.27,697.0,5.1,,10.7,0.4,182627.97,308572.86,Silver,6046575.51
21.0,946298.67,,0.15,0.28,1059412.86,588602.7,669.0,5.77,6.65,9.8,0.39,242542.47,80851.71,Silver,1517612.23
54.0,1341613.71,67595.22,0.45,0.28,,501811.16,638.0,7.38,6.79,0.0,0.11,163486.89,77718.16,Silver,3495464.73
35.0,915688.63,31777.16,0.3,0.39,1026264.16,787478.5,686.0,6.86,6.81,12.6,0.31,296247.23,51031.49,Silver,1396174.13
,594236.02,30337.97,0.09,0.28,1748982.02,393504.86,758.0,,4.92,12.7,0.45,365978.18,51198.57,Silver,2274455.56
37.0,1624722.37,58487.6,0.43,0.33,3045370.55,1029552.59,613.0,6.33,5.85,2.9,0.12,146692.05,146031.78,Silver,3959644.93
51.0,701726.53,30534.44,0.34,0.3,1108914.69,287016.83,616.0,4.64,8.58,9.3,0.37,188259.26,66287.02,Bronze,1447843.39
21.0,1663380.19,87922.92,0.03,0.19,4428355.54,361297.64,663.0,5.62,6.79,6.9,0.36,349604.32,221545.54,Gold,5181343.76
40.0,1512941.87,52264.64,0.29,0.76,1786443.83,670536.71,621.0,5.16,6.46,15.8,0.44,150482.51,208737.98,Gold,2351173.69
39.0,1150565.99,36091.44,0.3,0.53,3143862.9,703625.86,590.0,5.69,6.84,4.2,0.34,224877.74,82339.76,Bronze,3660053.24
35.0,1870544.17,66474.66,0.15,0.35,4221361.2,837112.39,692.0,5.75,7.38,8.2,0.43,469182.1,261096.89,Silver,5249959.69
57.0,2198066.03,127631.51,0.45,0.43,2405037.16,1038613.16,687.0,5.36,5.46,8.9,0.15,302040.32,147741.6,Gold,3252730.89
31.0,839072.75,43200.83,0.09,0.25,2494370.39,855838.19,653.0,4.85,5.25,13.5,0.26,302202.19,74974.38,Gold,3055720.19
48.0,651239.27,19409.32,0.26,0.22,2090861.9,464475.38,712.0,4.88,6.64,20.1,0.62,172853.09,43187.84,Silver,2595695.38
44.0,426958.5,23381.84,0.29,0.3,,375986.07,753.0,5.25,4.0,4.1,0.0,197242.96,30228.34,Silver,1589596.67
53.0,2208939.17,77742.5,0.05,0.51,4773941.37,683767.5,625.0,,4.07,6.7,0.14,309283.97,290502.45,Silver,5579449.96
33.0,754852.19,36430.26,0.28,0.14,719395.56,667597.23,597.0,7.8,6.58,4.3,0.34,194397.41,80871.87,Bronze,1089273.83
33.0,1417159.09,61102.04,0.15,0.27,1783894.64,1180879.22,,3.54,7.73,10.6,0.58,282590.64,158147.98,Gold,2403062.03
51.0,669072.63,44258.56,0.19,0.2,1229276.88,998674.76,726.0,8.24,8.01,5.4,0.24,334090.98,71213.86,Gold,1748653.81
44.0,1665200.84,55123.25,0.01,0.35,5000000.0,774087.5,629.0,,8.38,0.0,0.15,148254.57,245688.67,Silver,5741548.47
25.0,680173.37,37239.1,,0.22,998286.92,346746.41,619.0,,5.68,,0.14,250827.46,64485.89,Silver,1294961.9
35.0,558752.77,29128.33,0.27,0.28,1480991.44,775417.7,721.0,6.39,4.0,0.4,0.22,439614.49,33854.02,Bronze,1865724.94
44.0,827982.64,47693.7,,0.47,2588338.31,561128.44,604.0,7.51,4.93,6.8,0.21,378291.28,117510.78,Gold,3174103.09
48.0,727551.28,32241.99,0.32,0.59,1734318.46,979852.17,622.0,6.36,9.3,7.7,0.26,162031.93,65157.43,Gold,1965481.47
33.0,1142432.09,58596.64,0.24,0.25,,566227.88,762.0,5.85,8.51,10.1,,106507.7,122694.54,Gold,4077460.59
21.0,881686.71,35823.52,0.35,0.63,1758794.12,367626.16,632.0,6.07,9.0,6.8,0.3,313053.19,109352.53,Gold,2234265.63
45.0,1156872.73,52271.95,0.42,0.11,2228704.0,412072.48,706.0,6.75,7.11,10.7,0.49,167188.37,82642.49,Silver,2994607.77
28.0,801100.31,48862.14,0.26,0.51,2104638.73,495717.39,645.0,8.44,6.98,6.6,0.16,282421.42,60255.33,Silver,2535183.21
21.0,689765.59,42873.25,0.17,0.31,2158398.49,300859.07,642.0,6.84,8.15,0.0,0.13,,62378.4,Gold,2677186.39
21.0,712635.84,40805.76,0.28,0.47,2008068.26,,635.0,5.46,7.37,13.4,0.53,280395.53,92817.1,Bronze,2460630.67
48.0,2039317.11,81844.86,0.14,0.22,4672061.84,1352417.52,656.0,4.99,5.78,13.6,0.59,300774.1,152433.29,Silver,5463716.44
41.0,984824.19,55202.02,0.37,0.13,2762862.03,679286.98,688.0,6.91,6.11,8.1,0.32,61655.18,88635.43,Silver,3305800.25
38.0,407031.22,15611.34,0.3,0.37,1664961.36,438981.89,703.0,5.39,4.33,5.8,0.27,290290.54,51959.96,Gold,2014513.91
54.0,730925.22,24271.76,0.55,0.4,1290036.57,758685.16,651.0,6.53,6.8,0.0,0.22,383685.73,59339.91,Silver,1820251.91
,935556.16,47282.5,0.18,0.46,2354180.93,213204.52,684.0,5.47,6.7,,0.36,352831.99,,Gold,2911607.23
56.0,1882874.05,71962.93,0.5,0.58,5000000.0,361636.66,679.0,7.0,,1.7,0.2,135318.78,211920.08,Gold,5853105.44
26.0,1358143.88,82918.16,0.37,0.18,4735059.72,285969.11,709.0,6.26,8.36,1.5,0.04,242917.61,147422.07,Gold,5672154.33
40.0,622477.59,31150.63,0.26,0.58,1320717.13,338820.28,614.0,5.98,7.7,9.1,0.34,326907.97,65536.98,Silver,1748135.24
24.0,2367848.62,99355.5,0.08,0.24,2005403.34,706138.33,,4.97,,8.5,0.32,378593.14,,Gold,2717817.14
38.0,888851.89,45537.27,0.06,0.12,1427106.96,577306.17,620.0,8.09,5.44,13.8,0.32,,54114.81,Gold,1848836.11
38.0,1481672.34,81953.88,0.11,0.28,1788935.34,582642.11,659.0,5.23,7.75,10.3,0.29,168193.08,212269.95,Silver,2467388.06
46.0,567018.18,27568.59,0.69,0.61,1385740.18,369314.74,616.0,6.33,5.13,5.5,0.12,150267.6,32641.94,Silver,1635099.31
40.0,344856.89,17939.85,0.25,0.59,1061134.97,492819.19,,6.06,5.78,3.2,0.25,157454.39,44661.91,Gold,1451902.92
46.0,512357.27,30765.71,0.36,0.48,879774.88,1029952.31,716.0,5.82,7.73,12.4,0.27,177550.56,56178.49,Bronze,1219077.12
47.0,300000.0,16329.84,0.44,0.39,742325.42,489320.78,681.0,6.47,8.42,3.5,0.13,206359.7,21626.54,Bronze,1015950.83
62.0,2094835.89,70284.96,0.04,0.36,5000000.0,907480.57,636.0,5.71,6.28,17.4,0.41,163073.68,,Silver,5770548.71
37.0,980642.46,51789.57,0.17,0.48,3130794.77,773838.91,645.0,7.33,6.02,14.4,0.58,118766.51,113366.32,Silver,3648690.69
31.0,621749.42,19149.29,0.47,0.21,1976244.08,471507.22,671.0,6.27,5.75,9.4,0.24,98755.65,41073.16,Bronze,2507035.23
42.0,1078627.17,63737.13,0.31,0.22,,504859.21,718.0,4.9,9.64,8.8,0.18,188839.38,120161.1,Silver,2710024.6
32.0,970807.67,51078.15,0.19,0.26,4151313.07,429467.4,692.0,5.56,7.32,7.2,0.22,458164.5,90558.37,Bronze,4980324.02
55.0,1153744.62,72472.06,0.09,,,323125.89,686.0,5.13,8.57,14.7,0.49,281558.59,121589.17,Silver,3411432.74
37.0,1460022.79,56442.35,0.43,0.1,1611316.49,496836.02,662.0,6.37,7.14,6.0,0.35,188897.35,99587.4,Gold,2665342.13
34.0,801452.98,51710.78,0.38,0.3,2637997.6,711240.06,653.0,6.67,5.11,13.0,0.39,300807.06,41325.53,Silver,3065680.72
35.0,632992.8,21080.23,0.38,0.1,1910542.43,643490.03,638.0,5.27,6.41,13.5,0.37,132059.61,63053.82,Gold,2398369.93
47.0,1253261.77,,0.07,0.63,3652567.21,1336047.34,678.0,6.58,8.01,3.0,0.17,81179.13,106338.81,Gold,4080621.96
38.0,1240572.04,40001.41,0.52,0.22,2594706.62,957229.56,661.0,6.71,8.79,11.8,0.39,158319.04,154605.34,Silver,3608985.17
34.0,937005.44,44189.28,0.1,0.12,2775915.42,587436.33,663.0,6.37,6.34,14.6,0.37,271992.16,48090.75,Bronze,3260258.84
57.0,2150415.67,64861.44,0.07,0.33,5000000.0,742404.19,697.0,7.44,,12.6,0.24,376781.24,305669.43,Bronze,5929789.83
31.0,755413.98,35544.52,0.08,0.1,1001540.76,688898.7,700.0,6.24,5.84,11.5,0.38,152579.13,66883.59,Silver,1357434.42
40.0,627944.37,24933.31,0.28,0.3,2219670.97,304014.94,644.0,7.36,6.93,3.5,0.25,210955.17,44339.2,Bronze,2657469.48
47.0,1063830.48,43269.86,0.53,0.67,1943520.99,576113.36,580.0,6.08,5.46,8.8,0.32,176402.35,146491.0,Silver,2508352.66
24.0,687058.62,35013.63,0.42,0.26,2052668.38,837509.67,682.0,6.68,5.84,13.2,0.39,155719.21,63651.43,Silver,2429497.53
45.0,1097292.84,36794.98,0.05,0.28,1984007.14,1016476.28,630.0,7.41,9.17,11.4,0.47,441572.51,109803.87,Silver,2359597.91
29.0,644962.04,34770.47,0.43,0.43,754709.75,696685.15,650.0,4.02,7.3,2.5,0.43,218446.32,42239.21,Gold,1186347.88
,766855.09,39548.48,0.31,0.53,1827840.06,858164.72,712.0,4.34,8.82,7.9,0.27,433530.95,,Silver,2438423.54
30.0,1917410.64,110658.76,0.32,0.09,5000000.0,679026.52,,7.72,6.96,,0.08,195687.66,276616.38,Gold,6230342.13
47.0,765217.28,34506.65,,0.29,1585238.9,954007.87,627.0,4.99,7.0,,,103083.59,114377.65,Gold,2086169.29
51.0,653834.42,43677.82,0.4,0.69,584583.62,480433.68,646.0,6.52,7.47,12.3,,265054.84,44528.71,Silver,776803.02
49.0,,68988.52,0.18,0.14,1639561.86,220763.74,703.0,6.98,5.51,11.5,0.41,,210089.0,Gold,2333997.45
,591095.73,44275.4,0.1,0.59,856873.8,966125.13,676.0,5.04,7.58,9.8,0.39,176329.02,,Silver,1051937.12
38.0,682128.1,24315.91,0.23,0.14,2002845.07,1228739.48,755.0,5.85,8.33,5.0,0.13,223159.15,57009.03,Silver,2399240.68
34.0,1133447.57,58319.16,0.49,0.14,,1231014.17,707.0,6.3,7.22,4.0,0.19,99691.58,163614.27,Bronze,3793680.32
55.0,1309969.76,74325.03,0.13,0.53,1135147.89,382749.29,631.0,,9.93,18.6,0.81,303235.25,88613.47,Silver,1502272.32
33.0,1466428.78,44151.84,0.74,0.02,1410704.39,810812.05,740.0,5.71,7.94,11.2,0.31,240463.68,154749.87,Silver,2850400.73
30.0,667477.73,31885.53,0.23,0.1,2069043.4,182216.43,700.0,7.79,9.03,5.6,0.24,328544.48,,Silver,2591620.35
47.0,1142299.06,61249.48,0.37,0.45,1566503.52,782827.35,676.0,5.96,8.09,12.5,0.39,182248.49,61709.19,Gold,2140870.6
32.0,746915.07,38547.56,0.28,0.57,937884.6,1408322.96,,6.08,4.48,2.4,,194452.82,57195.36,Silver,1263404.27
30.0,706365.29,25556.75,0.4,0.69,702860.46,1063793.49,636.0,6.12,5.19,5.3,0.18,288582.64,95206.73,Gold,1111193.9
26.0,1456337.32,72979.02,0.3,0.15,3966553.26,243616.36,765.0,8.86,7.02,0.0,0.0,,156566.59,Gold,4930075.17
35.0,722395.67,26459.39,0.47,0.19,2576210.36,428126.64,679.0,4.28,8.69,18.4,0.55,181679.39,41042.58,Bronze,3197944.96
39.0,1005938.89,58129.09,0.11,0.43,2908243.97,1141817.03,639.0,5.08,6.84,5.1,0.22,163278.56,56081.78,Bronze,3403554.28
42.0,957788.09,32710.34,0.11,0.33,706430.53,316854.54,758.0,5.87,4.62,2.1,0.16,144867.42,117711.4,Gold,1063458.92
50.0,586453.28,24526.48,0.08,0.23,1395630.86,1627984.38,707.0,4.83,5.82,8.8,0.18,139679.13,37869.86,Silver,1482633.79
45.0,1324555.1,49943.51,0.18,0.09,3845567.11,1098158.44,728.0,5.69,8.41,10.1,0.3,264641.77,195093.24,Bronze,4799115.52
38.0,1126090.44,60197.66,0.04,0.21,3358663.68,1828566.84,662.0,6.41,4.0,13.0,0.46,226851.31,118103.54,Silver,3767727.78
38.0,406619.77,26150.83,0.23,0.31,968234.47,1184335.26,695.0,5.86,5.57,9.3,0.5,305447.56,37585.0,Silver,1249665.81
45.0,1005623.68,38870.7,0.3,0.07,3043486.67,882001.49,698.0,4.76,6.71,8.2,0.34,178132.65,119310.47,Silver,3466593.34
53.0,660637.57,22900.97,0.36,0.23,1443906.75,852270.2,746.0,5.56,7.31,5.1,0.31,108220.77,93680.61,Silver,1999987.35
41.0,1395802.62,56961.4,0.43,0.2,,1960381.75,733.0,4.6,6.05,8.6,0.49,164194.87,156849.33,Silver,5941466.15
,504836.61,30558.34,0.15,0.38,1611897.45,278205.55,679.0,,9.4,14.5,0.3,224048.67,42863.96,Gold,1885488.08
30.0,780397.95,35910.57,0.18,0.62,2950955.54,484453.1,656.0,8.31,7.1,5.4,0.21,302245.65,56950.28,Silver,3561383.46
26.0,1040237.76,48004.77,0.52,,2196953.01,751054.04,624.0,6.7,4.44,5.0,0.13,177304.99,70506.82,Gold,2676343.96
47.0,919776.66,44275.05,0.57,0.43,2179951.95,794622.97,656.0,5.96,7.91,6.9,0.23,264361.51,64971.69,Silver,2700363.42
46.0,1221186.33,,0.16,0.31,3183173.65,437655.61,698.0,4.69,6.55,7.8,0.39,196917.82,75363.6,Silver,3845290.5
46.0,490304.18,23343.14,0.04,0.35,986176.28,862765.01,701.0,3.74,6.11,3.5,0.04,,35563.12,Silver,1070931.52
39.0,1742647.0,69759.72,,0.2,4233400.31,1743374.11,,5.28,5.97,7.6,0.15,180518.04,189655.21,Silver,5589929.48
